Text token,Base token,Tree Tagger Tagged POS,Our Tagged POS
“,"""",``,
While,while,IN,
much,much,RB,
of,of,IN,
the,the,DT,
digital,digital,JJ,
transition,transition,NN,
is,be,VBZ,
unprecedented,unprecedented,JJ,
in,in,IN,
the,the,DT,
United,United,NP,
States,States,NPS,
",",",",",",
the,the,DT,
peaceful,peaceful,JJ,
transition,transition,NN,
of,of,IN,
power,power,NN,
is,be,VBZ,
not,not,RB,
",",",",",",
”,"""",'',
Obama,<unknown>,NP,
special,special,JJ,
assistant,assistant,NN,
Kori,Kori,NP,
Schulman,Schulman,NP,
wrote,write,VBD,
in,in,IN,
a,a,DT,
blog,<unknown>,NN,
post,post,IN,
Monday,Monday,NP,
.,.,SENT,
For,for,IN,
those,those,DT,
who,who,WP,
follow,follow,VBP,
social,social,JJ,
media,medium,NNS,
transitions,transition,NNS,
on,on,IN,
Capitol,Capitol,NP,
Hill,Hill,NP,
",",",",",",
this,this,DT,
will,will,MD,
be,be,VB,
a,a,DT,
little,little,RB,
different,different,JJ,
.,.,SENT,
But,but,CC,
in,in,IN,
a,a,DT,
break,break,NN,
from,from,IN,
his,his,PP$,
past,past,JJ,
rhetoric,rhetoric,NN,
about,about,IN,
curtailing,curtail,VBG,
immigration,immigration,NN,
",",",",",",
the,the,DT,
GOP,GOP,NP,
nominee,nominee,NN,
proclaimed,proclaim,VBD,
that,that,IN,
as,as,IN,
president,president,NN,
he,he,PP,
would,would,MD,
allow,allow,VB,
“,"""",``,
tremendous,tremendous,JJ,
numbers,number,NNS,
”,"""",'',
of,of,IN,
legal,legal,JJ,
immigrants,immigrant,NNS,
based,base,VBN,
on,on,IN,
a,a,DT,
“,"""",``,
merit,merit,NN,
system,system,NN,
.,.,SENT,
”,"""",'',
“,"""",``,
So,so,RB,
I,I,PP,
hate,hate,VBP,
to,to,TO,
put,put,VB,
a,a,DT,
little,little,JJ,
pressure,pressure,NN,
on,on,IN,
you,you,PP,
",",",",",",
but,but,CC,
the,the,DT,
fate,fate,NN,
of,of,IN,
the,the,DT,
republic,republic,NN,
rests,rest,VBZ,
on,on,IN,
your,your,PP$,
shoulders,shoulder,NNS,
",",",",",",
”,"""",'',
he,he,PP,
told,tell,VBD,
the,the,DT,
crowd,crowd,NN,
gathered,gather,VBN,
on,on,IN,
a,a,DT,
sports,sport,NNS,
field,field,NN,
at,at,IN,
the,the,DT,
University,University,NP,
of,of,IN,
North,North,NP,
Carolina,Carolina,NP,
.,.,SENT,
The,the,DT,
new,new,JJ,
spending,spending,NN,
is,be,VBZ,
fueled,fuel,VBN,
by,by,IN,
Clinton,Clinton,NP,
’s,'s,POS,
large,large,JJ,
bank,bank,NN,
account,account,NN,
.,.,SENT,
What,what,WP,
she,she,PP,
’s,be,VBZ,
saying,say,VBG,
and,and,CC,
what,what,WP,
she,she,PP,
’s,be,VBZ,
doing,do,VBG,
",",",",",",
it,it,PP,
—,-,:,
actually,actually,RB,
",",",",",",
it,it,PP,
’s,be,VBZ,
unbelievable,unbelievable,JJ,
.,.,SENT,
"$5,000",<unknown>,NN,
per,per,IN,
person,person,NN,
",",",",",",
the,the,DT,
maximum,maximum,NN,
allowed,allow,VBD,
.,.,SENT,
In,in,IN,
early,early,JJ,
October,October,NP,
",",",",",",
the,the,DT,
transition,transition,NN,
team,team,NN,
used,use,VBD,
the,the,DT,
same,same,JJ,
venue,venue,NN,
to,to,TO,
meet,meet,VB,
with,with,IN,
technology,technology,NN,
lobbyists,lobbyist,NNS,
",",",",",",
inviting,invite,VBG,
representatives,representative,NNS,
from,from,IN,
Uber,Uber,NP,
",",",",",",
the,the,DT,
Motion,Motion,NP,
Picture,Picture,NP,
Association,Association,NP,
of,of,IN,
America,America,NP,
",",",",",",
the,the,DT,
Consumer,Consumer,NP,
Technology,Technology,NP,
Association,Association,NP,
and,and,CC,
other,other,JJ,
groups,group,NNS,
.,.,SENT,
The,the,DT,
gathering,gathering,NN,
was,be,VBD,
originally,originally,RB,
slated,slate,VBN,
for,for,IN,
Washington,Washington,NP,
’s,'s,POS,
private,private,JJ,
Metropolitan,Metropolitan,NP,
Club,Club,NP,
on,on,IN,
H,H,NP,
Street,Street,NP,
a,a,DT,
few,few,JJ,
blocks,block,NNS,
away,away,RB,
.,.,SENT,
Maybe,maybe,RB,
the,the,DT,
dress,dress,NN,
code,code,NN,
was,be,VBD,
too,too,RB,
stuffy,stuffy,JJ,
.,.,SENT,
Rather,rather,RB,
than,than,IN,
teaching,teach,VBG,
the,the,DT,
scientific,scientific,JJ,
method,method,NN,
as,as,IN,
a,a,DT,
separate,separate,JJ,
unit,unit,NN,
",",",",",",
for,for,IN,
example,example,NN,
",",",",",",
students,student,NNS,
learn,learn,VBP,
science,science,NN,
content,content,NN,
by,by,IN,
applying,apply,VBG,
it,it,PP,
.,.,SENT,
They,they,PP,
are,be,VBP,
at,at,IN,
the,the,DT,
national,national,JJ,
average,average,NN,
in,in,IN,
grade,grade,NN,
4,@card@,CD,
and,and,CC,
better,good,JJR,
than,than,IN,
national,national,JJ,
average,average,NN,
in,in,IN,
grade,grade,NN,
8,@card@,CD,
.,.,SENT,
By,by,IN,
comparison,comparison,NN,
",",",",",",
it,it,PP,
cost,cost,VBD,
$103.7,<unknown>,JJ,
million,million,CD,
to,to,TO,
build,build,VB,
the,the,DT,
NoMa,noma,NN,
infill,infill,NN,
Metro,Metro,NN,
station,station,NN,
",",",",",",
which,which,WDT,
opened,open,VBD,
in,in,IN,
2004,@card@,CD,
.,.,SENT,
“,"""",``,
We,we,PP,
face,face,VBP,
a,a,DT,
lot,lot,NN,
of,of,IN,
competition,competition,NN,
",",",",",",
and,and,CC,
we,we,PP,
think,think,VBP,
transit,transit,NN,
can,can,MD,
help,help,VB,
",",",",",",
”,"""",'',
said,say,VBD,
Joe,Joe,NP,
Sternlieb,Sternlieb,NP,
",",",",",",
president,president,NN,
of,of,IN,
the,the,DT,
Georgetown,Georgetown,NP,
BID,bid,NN,
.,.,SENT,
The,the,DT,
feasibility,feasibility,NN,
study,study,NN,
estimates,estimate,VBZ,
that,that,IN,
it,it,PP,
would,would,MD,
take,take,VB,
passengers,passenger,NNS,
about,about,IN,
four,four,CD,
minutes,minute,NNS,
to,to,TO,
cross,cross,VB,
the,the,DT,
Potomac,Potomac,NP,
River,River,NP,
on,on,IN,
the,the,DT,
gondola,gondola,NN,
.,.,SENT,
A,a,DT,
witness,witness,NN,
told,tell,VBD,
police,police,NN,
that,that,IN,
the,the,DT,
victim,victim,NN,
had,have,VBD,
attacked,attack,VBN,
the,the,DT,
suspect,suspect,NN,
in,in,IN,
April,April,NP,
.,.,SENT,
There,there,EX,
are,be,VBP,
parallels,parallel,NNS,
to,to,TO,
draw,draw,VB,
here,here,RB,
between,between,IN,
games,game,NNS,
and,and,CC,
our,our,PP$,
everyday,everyday,JJ,
lives,life,NNS,
.,.,SENT,
That,that,DT,
share,share,NN,
has,have,VBZ,
been,be,VBN,
rising,rise,VBG,
steadily,steadily,RB,
over,over,IN,
the,the,DT,
years,year,NNS,
—,-,:,
only,only,RB,
11,@card@,CD,
percent,percent,NN,
of,of,IN,
the,the,DT,
total,total,JJ,
vote,vote,NN,
was,be,VBD,
cast,cast,VBN,
before,before,IN,
Election,Election,NP,
Day,Day,NP,
in,in,IN,
1996,@card@,CD,
",",",",",",
according,accord,VBG,
to,to,TO,
the,the,DT,
Census,Census,NP,
Bureau,Bureau,NP,
--,--,:,
and,and,CC,
seems,seem,VBZ,
likely,likely,RB,
to,to,TO,
jump,jump,VB,
again,again,RB,
this,this,DT,
year,year,NN,
.,.,SENT,
Today,today,NN,
",",",",",",
Khanzir,<unknown>,NP,
may,may,MD,
be,be,VB,
a,a,DT,
lonely,lonely,JJ,
pig,pig,NN,
",",",",",",
but,but,CC,
he,he,PP,
is,be,VBZ,
n’t,n't,RB,
always,always,RB,
alone,alone,RB,
.,.,SENT,
“,"""",``,
We,we,PP,
’ve,have,VBP,
requested,request,VBN,
other,other,JJ,
nations,nation,NNS,
to,to,TO,
help,help,VB,
us,us,PP,
populate,populate,VB,
the,the,DT,
zoo,zoo,NN,
with,with,IN,
different,different,JJ,
species,specie,NNS,
of,of,IN,
animals,animal,NNS,
",",",",",",
including,include,VBG,
a,a,DT,
pig,pig,NN,
",",",",",",
”,"""",'',
Saqib,Saqib,NP,
said,say,VBD,
.,.,SENT,
There,there,EX,
was,be,VBD,
a,a,DT,
time,time,NN,
",",",",",",
Mr,Mr,NP,
Panvalkar,<unknown>,NP,
said,say,VBD,
",",",",",",
when,when,WRB,
he,he,PP,
felt,feel,VBD,
that,that,IN,
they,they,PP,
should,should,MD,
leave,leave,VB,
the,the,DT,
building,building,NN,
.,.,SENT,
She,she,PP,
has,have,VBZ,
also,also,RB,
been,be,VBN,
charged,charge,VBN,
with,with,IN,
trying,try,VBG,
to,to,TO,
kill,kill,VB,
her,her,PP$,
two-year-old,two-year-old,JJ,
daughter,daughter,NN,
.,.,SENT,
She,she,PP,
killed,kill,VBD,
Andre,Andre,NP,
Price,Price,NP,
III,III,NP,
by,by,IN,
pressing,press,VBG,
his,his,PP$,
face,face,NN,
into,into,IN,
an,an,DT,
air,air,NN,
mattress,mattress,NN,
in,in,IN,
her,her,PP$,
sitting,sit,VBG,
room,room,NN,
before,before,IN,
trying,try,VBG,
to,to,TO,
do,do,VB,
the,the,DT,
same,same,JJ,
to,to,TO,
her,her,PP$,
daughter,daughter,NN,
",",",",",",
Angel,Angel,NP,
",",",",",",
police,police,NNS,
said,say,VBD,
.,.,SENT,
"""","""",``,
I,I,PP,
'm,be,VBP,
going,go,VBG,
to,to,TO,
jail,jail,NN,
either,either,CC,
way,way,NN,
",",",",",",
hope,hope,VBP,
it,it,PP,
was,be,VBD,
worth,worth,JJ,
it,it,PP,
.,.,SENT,
"""","""",'',
First,first,RB,
one,one,CD,
of,of,IN,
the,the,DT,
Yazidi,<unknown>,NP,
women,woman,NNS,
started,start,VBD,
crying,cry,VBG,
",",",",",",
then,then,RB,
one,one,CD,
of,of,IN,
her,her,PP$,
friends,friend,NNS,
.,.,SENT,
Mr,Mr,NP,
Osborne,Osborne,NP,
signed,sign,VBD,
up,up,RP,
with,with,IN,
a,a,DT,
US,US,NP,
speakers,speaker,NNS,
agency,agency,NN,
after,after,IN,
being,be,VBG,
sacked,sack,VBN,
in,in,IN,
July,July,NP,
.,.,SENT,
Michael,Michael,NP,
Fallon,Fallon,NP,
said,say,VBD,
the,the,DT,
date,date,NN,
for,for,IN,
cutting,cut,VBG,
the,the,DT,
first,first,JJ,
steel,steel,NN,
would,would,MD,
help,help,VB,
secure,secure,JJ,
new,new,JJ,
investment,investment,NN,
and,and,CC,
safeguard,safeguard,VB,
hundreds,hundred,NNS,
of,of,IN,
skilled,skilled,JJ,
jobs,job,NNS,
until,until,IN,
2035,@card@,CD,
.,.,SENT,
The,the,DT,
promise,promise,NN,
of,of,IN,
new,new,JJ,
Royal,Royal,NP,
Navy,Navy,NP,
orders,order,NNS,
to,to,TO,
secure,secure,VB,
the,the,DT,
Clyde,Clyde,NP,
shipbuilding,shipbuilding,NN,
industry,industry,NN,
was,be,VBD,
made,make,VBN,
before,before,IN,
the,the,DT,
Scottish,Scottish,JJ,
independence,independence,NN,
referendum,referendum,NN,
in,in,IN,
2014,@card@,CD,
.,.,SENT,
It,it,PP,
's,be,VBZ,
most,most,RBS,
obvious,obvious,JJ,
when,when,WRB,
a,a,DT,
celebrity,celebrity,NN,
's,'s,POS,
name,name,NN,
is,be,VBZ,
initially,initially,RB,
quite,quite,RB,
rare,rare,JJ,
.,.,SENT,
And,and,CC,
by,by,IN,
2007,@card@,CD,
",",",",",",
at,at,IN,
the,the,DT,
height,height,NN,
of,of,IN,
its,its,PP$,
popularity,popularity,NN,
(,(,(,
and,and,CC,
",",",",",",
perhaps,perhaps,RB,
",",",",",",
Knightley,Knightley,NP,
's,'s,POS,
),),),
it,it,PP,
was,be,VBD,
a,a,DT,
top,top,JJ,
50,@card@,CD,
name,name,NN,
",",",",",",
with,with,IN,
three,three,CD,
times,time,NNS,
more,more,JJR,
babies,baby,NNS,
named,name,VBN,
Keira,Keira,NP,
than,than,IN,
Kiera,Kiera,NP,
.,.,SENT,
The,the,DT,
South,South,JJ,
Korean,Korean,JJ,
company,company,NN,
initially,initially,RB,
thought,think,VBD,
a,a,DT,
battery,battery,NN,
fault,fault,NN,
was,be,VBD,
to,to,TO,
blame,blame,VB,
",",",",",",
and,and,CC,
switched,switch,VBD,
its,its,PP$,
own,own,JJ,
component,component,NN,
for,for,IN,
a,a,DT,
third-party,third-party,JJ,
power,power,NN,
cell,cell,NN,
.,.,SENT,
Several,several,JJ,
analysts,analyst,NNS,
have,have,VBP,
suggested,suggest,VBN,
Huawei,<unknown>,NP,
is,be,VBZ,
best,well,RBS,
placed,place,VBN,
to,to,TO,
benefit,benefit,VB,
from,from,IN,
Samsung,Samsung,NP,
's,'s,POS,
setback,setback,NN,
.,.,SENT,
The,the,DT,
Mate,Mate,NP,
9,@card@,CD,
phones,phone,NNS,
lack,lack,VBP,
an,an,DT,
artificial,artificial,JJ,
intelligence,intelligence,NN,
interface,interface,NN,
",",",",",",
like,like,IN,
the,the,DT,
Google,<unknown>,NP,
Assistant,Assistant,NP,
or,or,CC,
Apple,Apple,NP,
's,'s,POS,
Siri,Siri,NP,
.,.,SENT,
But,but,CC,
one,one,CD,
travel,travel,NN,
expert,expert,NN,
warned,warn,VBD,
in-flight,in-flight,JJ,
internet,Internet,NN,
was,be,VBD,
often,often,RB,
unreliable,unreliable,JJ,
and,and,CC,
was,be,VBD,
unlikely,unlikely,JJ,
to,to,TO,
influence,influence,VB,
travellers,traveller,NNS,
',',POS,
airline,airline,NN,
choices,choice,NNS,
.,.,SENT,
"""","""",``,
But,but,CC,
it,it,PP,
may,may,MD,
be,be,VB,
that,that,IN,
BA,BA,NP,
and,and,CC,
IAG,<unknown>,NP,
have,have,VBP,
cracked,crack,VBN,
it,it,PP,
and,and,CC,
can,can,MD,
offer,offer,VB,
something,something,NN,
vaguely,vaguely,RB,
reliable,reliable,JJ,
.,.,SENT,
"""","""",'',
The,the,DT,
company,company,NN,
told,tell,VBD,
the,the,DT,
BBC,BBC,NP,
it,it,PP,
would,would,MD,
be,be,VB,
the,the,DT,
responsibility,responsibility,NN,
of,of,IN,
each,each,DT,
airline,airline,NN,
brand,brand,NN,
to,to,TO,
decide,decide,VB,
whether,whether,IN,
to,to,TO,
charge,charge,VB,
passengers,passenger,NNS,
an,an,DT,
access,access,NN,
fee,fee,NN,
.,.,SENT,
"""","""",``,
Most,most,JJS,
people,people,NNS,
would,would,MD,
find,find,VB,
airport,airport,NN,
wi-fi,<unknown>,NNS,
more,more,RBR,
useful,useful,JJ,
than,than,IN,
being,be,VBG,
able,able,JJ,
to,to,TO,
send,send,VB,
emails,<unknown>,NNS,
on,on,IN,
a,a,DT,
plane,plane,NN,
.,.,SENT,
"""","""",``,
It,it,PP,
's,be,VBZ,
like,like,IN,
a,a,DT,
super,super,JJ,
power,power,NN,
sometimes,sometimes,RB,
.,.,SENT,
The,the,DT,
scheme,scheme,NN,
makes,make,VBZ,
money,money,NN,
through,through,IN,
sponsorship,sponsorship,NN,
and,and,CC,
advertising,advertising,NN,
.,.,SENT,
The,the,DT,
10-week,<unknown>,JJ,
course,course,NN,
has,have,VBZ,
been,be,VBN,
"""","""",``,
certified,certify,VBN,
"""","""",'',
by,by,IN,
UK,UK,NP,
spy,spy,NN,
agency,agency,NN,
GCHQ,<unknown>,NP,
.,.,SENT,
But,but,CC,
some,some,DT,
security,security,NN,
experts,expert,NNS,
raised,raise,VBD,
questions,question,NNS,
about,about,IN,
the,the,DT,
need,need,NN,
for,for,IN,
the,the,DT,
course,course,NN,
and,and,CC,
the,the,DT,
intent,intent,NN,
behind,behind,IN,
it,it,PP,
.,.,SENT,
Previously,previously,RB,
the,the,DT,
jets,jet,NNS,
had,have,VBD,
only,only,RB,
been,be,VBN,
seen,see,VBN,
by,by,IN,
bloggers,<unknown>,NNS,
.,.,SENT,
